section,subsection,title,abstract,url,uri,byline,item_type,updated_date,created_date,published_date,material_type_facet,kicker,des_facet,org_facet,per_facet,geo_facet,multimedia,short_url
us,,Here Are the Most Significant Findings Against the Minneapolis Police,The key findings in the report echo complaints that some Minneapolis residents have made for years. The report could lead to a court-enforced consent decree.,https://www.nytimes.com/2023/06/16/us/police-doj-report-highlights-minneapolis.html,nyt://article/fece1034-38f4-5c5d-9853-fa725d371ed4,"By Mitch Smith, Ernesto Londoño and Glenn Thrush",Article,2023-06-16 13:58:03-04:00,2023-06-16 11:06:39-04:00,2023-06-16 11:06:39-04:00,,,"['Police Brutality, Misconduct and Shootings', 'Discrimination', 'Black People', 'Corruption (Institutional)', 'Americans With Disabilities Act', 'Human Rights and Human Rights Violations', 'Race and Ethnicity']","['Justice Department', 'Police Department (Minneapolis, Minn)']","['Floyd, George (d 2020)', 'Chauvin, Derek (1976- )']",['Minneapolis (Minn)'],"[{'url': 'https://static01.nyt.com/images/2023/06/16/fashion/16minneapolis-police-allegations-1/16minneapolis-police-allegations-1-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1456, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Members of the Minneapolis Police Department during a protest in 2020 in Minneapolis. '}, {'url': 'https://static01.nyt.com/images/2023/06/16/fashion/16minneapolis-police-allegations-1/16minneapolis-police-allegations-1-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Members of the Minneapolis Police Department during a protest in 2020 in Minneapolis. '}, {'url': 'https://static01.nyt.com/images/2023/06/16/fashion/16minneapolis-police-allegations-1/16minneapolis-police-allegations-1-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Members of the Minneapolis Police Department during a protest in 2020 in Minneapolis. '}]",https://nyti.ms/3Ji2l60
us,,Read the full Justice Department report.,"The report, released Friday, is the result of a multiyear investigation into the Minneapolis Police Department following the death of George Floyd in 2020.",https://www.nytimes.com/2023/06/16/us/civil-rights-minneapolis-george-floyd.html,nyt://article/9861c917-743b-56e8-8759-cfb12b57aa2d,By The New York Times,Article,2023-06-16 13:46:47-04:00,2023-06-16 11:11:40-04:00,2023-06-16 11:11:40-04:00,,,"['Corruption (Institutional)', 'Discrimination']","['Justice Department', 'Police Department (Minneapolis, Minn)']",[],['Minneapolis (Minn)'],"[{'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16minneapolis-police-full-report-1/16minneapolis-police-promo-1220-hcgb-superJumbo-v2.jpg', 'format': 'Super Jumbo', 'height': 1365, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Attorney General Merrick B. Garland talking Friday about the Justice Department’s investigation into the Minneapolis Police Department.', 'copyright': 'Caroline Yang for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16minneapolis-police-full-report-1/16minneapolis-police-promo-1220-hcgb-threeByTwoSmallAt2X-v2.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Attorney General Merrick B. Garland talking Friday about the Justice Department’s investigation into the Minneapolis Police Department.', 'copyright': 'Caroline Yang for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16minneapolis-police-full-report-1/16minneapolis-police-promo-1220-hcgb-thumbLarge-v2.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Attorney General Merrick B. Garland talking Friday about the Justice Department’s investigation into the Minneapolis Police Department.', 'copyright': 'Caroline Yang for The New York Times'}]",https://nyti.ms/440Uqlo
us,politics,"In Trump Prosecution, Special Counsel Seeks to Avoid Distracting Fights","Jack Smith has taken an iron-fist-in-a-kid-glove approach, sidestepping secondary issues that could divert attention from the weight of the evidence he has assembled in his case against the former president.",https://www.nytimes.com/2023/06/16/us/politics/trump-documents-jack-smith.html,nyt://article/66d42090-4b5c-5f7e-8135-db3149e48082,By Glenn Thrush,Article,2023-06-16 13:00:12-04:00,2023-06-16 10:46:11-04:00,2023-06-16 10:46:11-04:00,,news analysis,"['Federal Criminal Case Against Trump (Documents Case)', 'Courts and the Judiciary', 'Presidential Election of 2024', 'United States Politics and Government', 'Special Prosecutors (Independent Counsel)']",['Justice Department'],"['Smith, Jack (Attorney)', 'Trump, Donald J']",[],"[{'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15dc-memo-zblg/15dc-memo-zblg-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1207, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'The first courtroom skirmish in United States v. Donald J. Trump underscored the legal perils the former president faces and his determination to make the indictment a centerpiece of a 2024 presidential campaign.', 'copyright': 'Doug Mills/The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15dc-memo-zblg/15dc-memo-zblg-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'The first courtroom skirmish in United States v. Donald J. Trump underscored the legal perils the former president faces and his determination to make the indictment a centerpiece of a 2024 presidential campaign.', 'copyright': 'Doug Mills/The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15dc-memo-zblg/15dc-memo-zblg-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'The first courtroom skirmish in United States v. Donald J. Trump underscored the legal perils the former president faces and his determination to make the indictment a centerpiece of a 2024 presidential campaign.', 'copyright': 'Doug Mills/The New York Times'}]",https://nyti.ms/3qIHylz
us,,See How the G.O.P. Has Reacted to the Trump Indictment,More than half of the Republicans in Congress have made public statements about Trump’s federal indictment. Most are not pleased.,https://www.nytimes.com/interactive/2023/06/16/us/republican-trump-indictment-response.html,nyt://interactive/c21d456c-f5eb-5733-8b61-4a04209c785e,By Karen Yourish and Charlie Smart,Interactive,2023-06-16 09:50:54-04:00,2023-06-16 05:00:03-04:00,2023-06-16 05:00:03-04:00,,,[],[],[],[],"[{'url': 'https://static01.nyt.com/images/2023/06/15/us/2023-06-14-trump-indictment-reactions-index/2023-06-14-trump-indictment-reactions-index-superJumbo-v3.jpg', 'format': 'Super Jumbo', 'height': 1333, 'width': 2000, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/15/us/2023-06-14-trump-indictment-reactions-index/2023-06-14-trump-indictment-reactions-index-threeByTwoSmallAt2X-v5.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/15/us/2023-06-14-trump-indictment-reactions-index/2023-06-14-trump-indictment-reactions-index-thumbLarge-v3.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'The New York Times'}]",https://nyti.ms/442lDEf
briefing,,Donald Trump Has a Polling Problem,Most Republicans still support Trump. But the polls still suggest the federal indictment is hurting him.,https://www.nytimes.com/2023/06/16/briefing/donald-trump-polling.html,nyt://article/039f9a16-1a15-5f45-af5e-adeb491d9cb1,By David Leonhardt,Article,2023-06-16 09:45:41-04:00,2023-06-16 06:36:24-04:00,2023-06-16 06:36:24-04:00,,,"['internal-storyline-no', 'Federal Criminal Case Against Trump (Documents Case)', 'Presidential Election of 2024', 'Polls and Public Opinion']",[],[],[],"[{'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16-THE-MORNING-NL-Supporters-promo/16-THE-MORNING-NL-Supporters-ftgw-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 2048, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Supporters of President Donald Trump’s rallied outside Mar-a-Lago after Trump appeared in a New York courtroom in April.', 'copyright': 'Hilary Swift for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16-THE-MORNING-NL-Supporters-promo/16-THE-MORNING-NL-Supporters-ftgw-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Supporters of President Donald Trump’s rallied outside Mar-a-Lago after Trump appeared in a New York courtroom in April.', 'copyright': 'Hilary Swift for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16-THE-MORNING-NL-Supporters-promo/16-THE-MORNING-NL-Supporters-ftgw-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Supporters of President Donald Trump’s rallied outside Mar-a-Lago after Trump appeared in a New York courtroom in April.', 'copyright': 'Hilary Swift for The New York Times'}]",https://nyti.ms/3CzYWeQ
us,,"Daniel Ellsberg, Who Leaked the Pentagon Papers, Is Dead at 92","Deeply disturbed by the accounting of American deceit in Vietnam, he approached The New York Times. The disclosures that followed rocked the nation.",https://www.nytimes.com/2023/06/16/us/daniel-ellsberg-dead.html,nyt://article/979c09ca-642e-57a2-a7e0-010550944db7,By Robert D. McFadden,Article,2023-06-16 14:40:12-04:00,2023-06-16 14:17:09-04:00,2023-06-16 14:17:09-04:00,,,"['Deaths (Obituaries)', 'Pentagon Papers', 'Vietnam War', 'Classified Information and State Secrets', 'United States Defense and Military Forces']",['New York Times'],"['Ellsberg, Daniel', 'Nixon, Richard Milhous', 'Russo, Anthony J (1936-2008)']",[],"[{'url': 'https://static01.nyt.com/images/2023/03/15/obituaries/00ellsberg-03/merlin_202140630_00f77f6e-ada3-4cc0-bc79-d8d2279597a6-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1405, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Mr. Ellsberg and his wife, Patricia, in 1971, when he surrendered to federal authorities in Boston.', 'copyright': 'Donald F. Holway/The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/03/15/obituaries/00ellsberg-03/merlin_202140630_00f77f6e-ada3-4cc0-bc79-d8d2279597a6-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Mr. Ellsberg and his wife, Patricia, in 1971, when he surrendered to federal authorities in Boston.', 'copyright': 'Donald F. Holway/The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/03/15/obituaries/00ellsberg-03/00ellsberg-03-thumbLarge-v2.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Mr. Ellsberg and his wife, Patricia, in 1971, when he surrendered to federal authorities in Boston.', 'copyright': 'Donald F. Holway/The New York Times'}]",https://nyti.ms/3p6sDRG
us,,Jury Convicts Man in Killing of 11 in Pittsburgh Synagogue,Jurors will next hear arguments about whether Robert Bowers should be sentenced to death.,https://www.nytimes.com/2023/06/16/us/pittsburgh-synagogue-shooting-verdict.html,nyt://article/b5b09646-49ca-5a2c-81e6-82f323c3b299,By Campbell Robertson and Jon Moss,Article,2023-06-16 13:11:23-04:00,2023-06-16 12:12:45-04:00,2023-06-16 12:12:45-04:00,,,"['Murders, Attempted Murders and Homicides', 'Pittsburgh, Pa, Shooting (2018)', 'Anti-Semitism', 'Decisions and Verdicts', 'Jews and Judaism']","['Tree of Life (Pittsburgh, Pa, Synagogue)']","['Bowers, Robert D (1972- )']",[],"[{'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16nat-pitt-synagogue-verdict-vbmc/16nat-pitt-synagogue-closings-vbmc-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1365, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'The massacre at the Tree of Life synagogue in Pittsburgh in October 2018 is considered to be the deadliest antisemitic attack in U.S. history.', 'copyright': 'Michael Henninger for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16nat-pitt-synagogue-verdict-vbmc/16nat-pitt-synagogue-closings-vbmc-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'The massacre at the Tree of Life synagogue in Pittsburgh in October 2018 is considered to be the deadliest antisemitic attack in U.S. history.', 'copyright': 'Michael Henninger for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16nat-pitt-synagogue-verdict-vbmc/16nat-pitt-synagogue-closings-vbmc-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'The massacre at the Tree of Life synagogue in Pittsburgh in October 2018 is considered to be the deadliest antisemitic attack in U.S. history.', 'copyright': 'Michael Henninger for The New York Times'}]",https://nyti.ms/3pdsY51
world,europe,"Hundreds Dead, 9 Arrested, and Many Questions in Migrant Wreck",Greek authorities blamed smugglers for a disaster that may have been one of the worst of its kind. Critics say tougher policies are increasing the risks.,https://www.nytimes.com/2023/06/16/world/europe/greece-migrant-boat-disaster.html,nyt://article/1148a4ab-0dd2-5aaf-b00d-1a88fd081329,By Jason Horowitz and Niki Kitsantonis,Article,2023-06-16 13:44:35-04:00,2023-06-16 12:18:27-04:00,2023-06-16 12:18:27-04:00,,,"['Smuggling', 'International Relations', 'Illegal Immigration', 'Politics and Government', 'Deaths (Fatalities)', 'Ships and Shipping', 'Human Trafficking', 'Maritime Accidents and Safety', 'Drownings', 'Middle East and Africa Migrant Crisis']","['European Union', 'International Committee of the Red Cross', 'International Organization for Migration']",[],"['Greece', 'Italy', 'Mediterranean Sea']","[{'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16greece-migrants-01-fgbm/16greece-migrants-01-fgbm-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1365, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Survivors of the wreck of the Adriana at a warehouse in the port of Kalamata, Greece, on Thursday. The authorities have recovered 78 bodies, but hundreds more are likely to have died.', 'copyright': 'Eirini Vourloumis for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16greece-migrants-01-fgbm/16greece-migrants-01-fgbm-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Survivors of the wreck of the Adriana at a warehouse in the port of Kalamata, Greece, on Thursday. The authorities have recovered 78 bodies, but hundreds more are likely to have died.', 'copyright': 'Eirini Vourloumis for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16greece-migrants-01-fgbm/16greece-migrants-01-fgbm-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Survivors of the wreck of the Adriana at a warehouse in the port of Kalamata, Greece, on Thursday. The authorities have recovered 78 bodies, but hundreds more are likely to have died.', 'copyright': 'Eirini Vourloumis for The New York Times'}]",https://nyti.ms/3qRxcQA
us,,Southern Baptists’ Fight Over Female Leaders Shows Power of Insurgent Right,Moves this week to oust women from church leadership in the nation’s largest Protestant denomination offer an early look into the psyche of evangelical America ahead of 2024.,https://www.nytimes.com/2023/06/16/us/southern-baptist-women-pastors-church.html,nyt://article/adb411d2-a891-57ce-bd0f-b0150888cc41,By Elizabeth Dias and Ruth Graham,Article,2023-06-16 13:19:59-04:00,2023-06-16 03:00:11-04:00,2023-06-16 03:00:11-04:00,,,"['Evangelical Movement', 'Conservatism (US Politics)', 'Christians and Christianity', 'Women and Girls']",['Southern Baptist Convention'],"['Moore, Russell D', 'Warren, Rick']",['New Orleans (La)'],"[{'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15NAT-BAPTIST-RIGHT-01-kmcz/15NAT-BAPTIST-RIGHT-01-kmcz-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1366, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Members voted at the Southern Baptist Convention in New Orleans this week. ', 'copyright': 'Christiana Botic for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15NAT-BAPTIST-RIGHT-01-kmcz/15NAT-BAPTIST-RIGHT-01-kmcz-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Members voted at the Southern Baptist Convention in New Orleans this week. ', 'copyright': 'Christiana Botic for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15NAT-BAPTIST-RIGHT-01-kmcz/15NAT-BAPTIST-RIGHT-01-kmcz-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Members voted at the Southern Baptist Convention in New Orleans this week. ', 'copyright': 'Christiana Botic for The New York Times'}]",https://nyti.ms/3qEQHeO
business,,The Titanic Truthers of TikTok,"On the short-form video app, long-established facts about the 1912 disaster at sea are being newly litigated as musty rumors merge with fresh misinformation and manipulated content.",https://www.nytimes.com/2023/06/16/business/titanic-tiktok-misinformation.html,nyt://article/161cc544-5ebd-527f-9aba-5ecc623ce9a4,By Tiffany Hsu and Sapna Maheshwari,Article,2023-06-16 12:02:11-04:00,2023-06-16 09:00:20-04:00,2023-06-16 09:00:20-04:00,,,"['internal-sub-only', 'Social Media', 'Titanic (Ship)', 'Rumors and Misinformation', 'Conspiracy Theories']",['TikTok (ByteDance)'],[],[],"[{'url': 'https://static01.nyt.com/images/2023/06/18/multimedia/16Titanic-01-hjfc/16Titanic-01-hjfc-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1364, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'The Titanic in 1996. The video app TikTok is just the latest avenue for false narratives about the ship. ', 'copyright': 'Getty Images'}, {'url': 'https://static01.nyt.com/images/2023/06/18/multimedia/16Titanic-01-hjfc/16Titanic-01-hjfc-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'The Titanic in 1996. The video app TikTok is just the latest avenue for false narratives about the ship. ', 'copyright': 'Getty Images'}, {'url': 'https://static01.nyt.com/images/2023/06/18/multimedia/16Titanic-01-hjfc/16Titanic-01-hjfc-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'The Titanic in 1996. The video app TikTok is just the latest avenue for false narratives about the ship. ', 'copyright': 'Getty Images'}]",https://nyti.ms/3XdKmDe
world,europe,Trump and Johnson Were Accused of Breaking Rules. One Lost Party Support.,"Donald J. Trump and Boris Johnson are at the heart of political tempests at home, facing different accusations and far different results.",https://www.nytimes.com/2023/06/15/world/europe/boris-johnson-trump-conservatives.html,nyt://article/ebc1f5b7-3f13-5fa4-8f90-d50cafb92129,By Mark Landler,Article,2023-06-16 00:09:50-04:00,2023-06-15 16:20:28-04:00,2023-06-15 16:20:28-04:00,,News ANALYSIS,"['Politics and Government', 'United States Politics and Government', 'Legislatures and Parliaments', 'Federal Criminal Case Against Trump (Documents Case)', 'Coronavirus (2019-nCoV)', 'Parties (Social)']","['Conservative Party (Great Britain)', 'Republican Party', 'House of Commons (Great Britain)', 'House of Representatives']","['Johnson, Boris', 'Trump, Donald J']","['Great Britain', 'United States']","[{'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15boris-assess-new-wpmk/15boris-assess-new-wpmk-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1366, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Former Prime Minister Boris Johnson on his morning run on Thursday. Mr. Johnson abruptly resigned last week after a committee of lawmakers found he had deliberately misled them about violating pandemic lockdown rules.', 'copyright': 'Leon Neal/Getty Images'}, {'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15boris-assess-new-wpmk/15boris-assess-new-wpmk-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Former Prime Minister Boris Johnson on his morning run on Thursday. Mr. Johnson abruptly resigned last week after a committee of lawmakers found he had deliberately misled them about violating pandemic lockdown rules.', 'copyright': 'Leon Neal/Getty Images'}, {'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15boris-assess-new-wpmk/15boris-assess-new-wpmk-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Former Prime Minister Boris Johnson on his morning run on Thursday. Mr. Johnson abruptly resigned last week after a committee of lawmakers found he had deliberately misled them about violating pandemic lockdown rules.', 'copyright': 'Leon Neal/Getty Images'}]",https://nyti.ms/469Mbp9
world,europe,"Boris Johnson, Out of Parliament, Is a Columnist Again","Britain’s former prime minister, who quit as a lawmaker in the face of a possible suspension for misleading statements about pandemic gatherings, will write for The Daily Mail, a tabloid.",https://www.nytimes.com/2023/06/16/world/europe/boris-johnson-daily-mail-column.html,nyt://article/db7a9e46-b50d-537d-9b46-85cf97e3ab5d,By Mark Landler,Article,2023-06-16 14:06:49-04:00,2023-06-16 10:04:30-04:00,2023-06-16 10:04:30-04:00,,,"['Newspapers', 'Legislatures and Parliaments']",['Daily Mail'],"['Johnson, Boris']",['Great Britain'],"[{'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16uk-boris-lbmz/16uk-boris-lbmz-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1322, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Former Prime Minister Boris Johnson described the report recommending his suspension from Britain’s Parliament as “tripe.”', 'copyright': 'Peter Nicholls/Reuters'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16uk-boris-lbmz/16uk-boris-lbmz-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Former Prime Minister Boris Johnson described the report recommending his suspension from Britain’s Parliament as “tripe.”', 'copyright': 'Peter Nicholls/Reuters'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16uk-boris-lbmz/16uk-boris-lbmz-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Former Prime Minister Boris Johnson described the report recommending his suspension from Britain’s Parliament as “tripe.”', 'copyright': 'Peter Nicholls/Reuters'}]",https://nyti.ms/3Xddpae
world,europe,"‘I Cannot Believe We Made It’: In the Flood, a Rescue Behind the Front","To many, the destruction of a dam on the Dnipro River in Ukraine brought devastation. To some stranded in Russian-occupied territory, it brought freedom.",https://www.nytimes.com/2023/06/16/world/europe/ukraine-flood-rescue-dam-island.html,nyt://article/099b2d31-2216-5516-9c53-fd76cf98d357,By Andrew E. Kramer and Maria Varenikova,Article,2023-06-16 05:00:43-04:00,2023-06-16 05:00:43-04:00,2023-06-16 05:00:43-04:00,,,"['Russian Invasion of Ukraine (2022)', 'Floods', 'Defense and Military Forces', 'Rescues', 'Levees and Dams', 'Drones (Pilotless Planes)', 'Deaths (Fatalities)']",[],[],"['Kherson (Ukraine)', 'Dnipro River (Ukraine)', 'Russia', 'Ukraine']","[{'url': 'https://static01.nyt.com/images/2023/06/14/world/14ukraine-flood-rescue/14ukraine-flood-rescue-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1385, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Kateryna Krupych, holding her daughter Maria, 4, after they were rescued.', 'copyright': 'Maria Varenikova for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/14/world/14ukraine-flood-rescue/14ukraine-flood-rescue-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Kateryna Krupych, holding her daughter Maria, 4, after they were rescued.', 'copyright': 'Maria Varenikova for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/14/world/14ukraine-flood-rescue/14ukraine-flood-rescue-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Kateryna Krupych, holding her daughter Maria, 4, after they were rescued.', 'copyright': 'Maria Varenikova for The New York Times'}]",https://nyti.ms/3Cyzs1B
